LAT;LONG;PortName;UN-PortCode
57.0425;9.921;Aalborg;DKAAL
56.15;10.2167;Aarhus;DKAAR
57.15;-2.05;Aberdeen;GBABD
-23.1409;-44.173;Abraao, Ilha Grande;BRIGE
24.4667;54.3667;Abu Dhabi;AEAUH
31.4539;131.3949;Aburatsu;JPABU
16.85;-99.8667;Acapulco;MXACA
-34.7742;138.4843;Adelaide;AUADL
30.4111;-9.5578;Agadir;MAAGA
35.1833;25.7167;Agios Nikólaos, Kríti;GRANI
41.9088;8.7087;Ajaccio;FRAJA
-43.8;172.95;Akaroa;NZAKA
39.7073;140.1188;Akita;JPAXT
65.695;-18.1208;Akureyri;ISAKU
29.8667;32.4667;Al Adabiyah;EGADA
25.1167;56.3333;Al Fujayrah;AEFJR
36.4;10.6167;Al Hammamat;TNHMM
36.521;32.0585;Alanya;TRALA
-35.0348;117.8943;Albany;AUALH
62.4667;6.15;Alesund;NOAES
31.2104;29.9125;Alexandria;EGALY
36.1492;-5.4438;Algeciras;ESALG
40.55;8.3167;Alghero;ITAHO
38.301;-0.5375;Alicante;ESALC
36.8333;-2.45;Almeria;ESLEI
-19.0542;-169.9967;Alofi;NUALF
69.9887;23.2955;Alta;NOALF
-2.5044;-54.9542;Alter do Chão;BRALT
19.8347;-70.7774;Amber Cove;DOABC
52.3307;4.8643;Amsterdam;NLAMS
61.2233;-149.9011;Anchorage, AK;USANC
43.6333;13.5;Ancona;ITAOI
-41.8722;-73.8389;Ancud, Isla Grande;CLANC
62.5667;7.7;Andalsnes;NOAND
-23.0333;-44.3167;Angra dos Reis;BRADR
36.8789;30.7093;Antalya;TRAYT
-23.6333;-70.3833;Antofagasta;CLANF
-12.2809;49.2909;Antsiranana;MGDIE
51.2167;4.4167;Antwerpen;BEANR
40.8246;140.7552;Aomori;JPAOJ
-13.835;-171.7681;Apia;WSAPW
29.5333;35.0;Aqaba;JOAQJ
38.1833;20.4833;Argostolion;GRARM
-18.4833;-70.3167;Arica;CLARI
28.9667;-13.5333;Arrecife, Lanzarote;ESACE
31.7989;34.649;Ashdod (Jerusalem);ILASH
46.1898;-123.8339;Astoria;USAST
-36.8333;174.8;Auckland;NZAKL
37.13;15.13;Augusta;ITAUG
45.9167;-89.6667;Avalon, Santa Catalina Island;USAV2
-14.9717;-147.6344;Avatoru, Rangiroa;PFRGI
49.2167;-68.15;Baie-Comeau, Quebec;CABCO
8.9536;-79.5579;Balboa;PABLB
-1.2833;116.8333;Balikpapan;IDBPN
39.2833;-76.6167;Baltimore;USBAL
4.8833;114.9333;Bandar Seri Begawan;BNBWN
13.4483;-16.5806;Banjul;GMBJL
44.3894;-68.2074;Bar Harbor;USBHB
41.375;2.1576;Barcelona;ESBCN
